ma_don_vi,ten_don_vi,ngay_tiep_nhan,linh_vuc,so_ho_so,thoi_gian_tb_ngay,can_bo_phu_trach
DV10,Xã Thanh Sơn,06/03/2026,Hộ tịch,5,4.0,Lê Thị B
DV12,Xã Hương Trà,09/02/2026,Đất đai,7,2.1,Nguyễn Thị D
DV05,Xã Bình An,27/04/2026,Hộ tịch,10,4.0,Lê Thị B
DV08,Xã Vĩnh Lộc,17/03/2026,Hộ tịch,8,2.1,Lê Thị B
DV06,Xã Long Thành,26/01/2026,Đất đai,9,5.2,Trần Văn A
DV10,Xã Thanh Sơn,03/04/2026,Chứng thực,5,1.8,Nguyễn Thị D
DV12,Xã Hương Trà,24/06/2026,Chứng thực,10,3.3,Nguyễn Thị D
DV08,Xã Vĩnh Lộc,05/03/2026,Đất đai,9,3.1,Nguyễn Thị D
DV06,Xã Long Thành,05/02/2026,Hộ tịch,11,4.5,Nguyễn Thị D
DV10,Xã Thanh Sơn,24/02/2026,Hộ tịch,9,5.7,Nguyễn Thị D
DV11,Xã Mỹ Khánh,01/01/2026,Đất đai,8,1.8,Nguyễn Thị D
DV10,Xã Thanh Sơn,04/04/2026,Hộ tịch,5,1.6,Phạm Văn C
DV11,Xã Mỹ Khánh,21/05/2026,Đất đai,8,1.7,Vũ Thị G
DV05,Xã Bình An,10/05/2026,Chứng thực,11,5.3,Nguyễn Thị D
DV03,Phường Đông Giang,17/06/2026,Hộ tịch,13,2.0,Hoàng Văn E
DV08,Xã Vĩnh Lộc,14/04/2026,Hộ tịch,7,4.5,Lê Thị B
DV09,Xã An Cư,04/01/2026,Chứng thực,6,3.9,Hoàng Văn E
DV05,Xã Bình An,01/05/2026,Đất đai,11,96.0,Hoàng Văn E
DV08,Xã Vĩnh Lộc,06/01/2026,Hộ tịch,9,5.2,Vũ Thị G
DV11,Xã Mỹ Khánh,08/06/2026,Đất đai,10,3.5,Phạm Văn C
DV04,Phường Nam Phong,20/06/2026,Đất đai,-12,4.7,Lê Thị B
DV03,Phường Đông Giang,14/03/2026,Chứng thực,22,5.2,
DV02,Phường Tân Hoà,08/05/2026,Đất đai,25,2.2,Vũ Thị G
DV09,Xã An Cư,11/04/2026,Chứng thực,7,5.6,Nguyễn Thị D
DV03,Phường Đông Giang,10/05/2026,Chứng thực,20,5.3,Nguyễn Thị D
DV11,Xã Mỹ Khánh,17/05/2026,Hộ tịch,9,2.6,Lê Thị B
DV03,Phường Đông Giang,11/02/2026,Hộ tịch,17,3.4,Nguyễn Thị D
DV12,Xã Hương Trà,17/05/2026,Đất đai,8,4.3,Hoàng Văn E
DV01,Phường Hoà Thuận,15/06/2026,Hộ tịch,24,3.6,Lê Thị B
DV07,Xã Phú Điền,16/05/2026,Hộ tịch,8,3.2,Phạm Văn C
DV10,Xã Thanh Sơn,10/05/2026,Chứng thực,5,2.3,Hoàng Văn E
DV06,Xã Long Thành,12/03/2026,Chứng thực,12,2.3,Lê Thị B
DV04,Phường Nam Phong,11/01/2026,Hộ tịch,21,2.6,Vũ Thị G
DV01,Phường Hoà Thuận,19/04/2026,Hộ tịch,15,2.9,Trần Văn A
DV06,Xã Long Thành,05/04/2026,Hộ tịch,10,2.4,Vũ Thị G
DV12,Xã Hương Trà,14/01/2026,Chứng thực,8,5.9,Lê Thị B
DV12,Xã Hương Trà,26/04/2026,Đất đai,6,4.9,Trần Văn A
DV01,Phường Hoà Thuận,11/05/2026,Đất đai,28,4.9,Lê Thị B
DV11,Xã Mỹ Khánh,24/03/2026,Đất đai,15,2.9,Trần Văn A
DV03,Phường Đông Giang,27/01/2026,Chứng thực,16,1.7,Nguyễn Thị D
DV01,Phường Hoà Thuận,05/04/2026,Đất đai,16,4.3,Trần Văn A
DV05,Xã Bình An,22/05/2026,Hộ tịch,9,3.1,Lê Thị B
DV11,Xã Mỹ Khánh,21/05/2026,Chứng thực,11,4.5,Lê Thị B
DV08,Xã Vĩnh Lộc,01/02/2026,Đất đai,7,5.2,Nguyễn Thị D
DV09,Xã An Cư,06/02/2026,Hộ tịch,8,4.5,Nguyễn Thị D
DV08,Xã Vĩnh Lộc,11/01/2026,Chứng thực,12,5.7,Vũ Thị G
DV01,Phường Hoà Thuận,11/03/2026,Đất đai,,5.7,Hoàng Văn E
DV02,Phường Tân Hoà,02/02/2026,Đất đai,24,1.9,Nguyễn Thị D
DV07,Xã Phú Điền,17/05/2026,Đất đai,9,1.8,Hoàng Văn E
DV01,Phường Hoà Thuận,13/03/2026,Chứng thực,27,3.9,Hoàng Văn E
DV01,Phường Hoà Thuận,05/02/2026,Hộ tịch,24,2.4,Phạm Văn C
DV11,Xã Mỹ Khánh,04/04/2026,Hộ tịch,14,3.4,Trần Văn A
DV05,Xã Bình An,23/04/2026,Chứng thực,10,4.6,Hoàng Văn E
DV10,Xã Thanh Sơn,07/04/2026,Đất đai,5,5.0,Phạm Văn C
DV10,Xã Thanh Sơn,07/03/2026,Đất đai,7,4.3,Lê Thị B
DV04,Phường Nam Phong,14/04/2026,Đất đai,20,4.9,Lê Thị B
DV10,Xã Thanh Sơn,24/06/2026,Đất đai,6,2.1,Nguyễn Thị D
DV09,Xã An Cư,13/03/2026,Hộ tịch,6,4.2,Hoàng Văn E
DV03,Phường Đông Giang,01/03/2026,Hộ tịch,14,3.2,Trần Văn A
DV04,Phường Nam Phong,09/03/2026,Chứng thực,23,2.8,Trần Văn A
DV11,Xã Mỹ Khánh,17/06/2026,Chứng thực,16,4.9,Hoàng Văn E
DV04,Phường Nam Phong,07/04/2026,Hộ tịch,19,2.7,Lê Thị B
DV07,Xã Phú Điền,27/03/2026,Hộ tịch,10,3.2,Phạm Văn C
DV11,Xã Mỹ Khánh,24/02/2026,Chứng thực,11,4.4,Hoàng Văn E
DV10,Xã Thanh Sơn,19/02/2026,Chứng thực,7,3.3,Lê Thị B
DV04,Phường Nam Phong,08/05/2026,Đất đai,28,5.0,Hoàng Văn E
DV03,Phường Đông Giang,09/02/2026,Đất đai,17,1.8,Nguyễn Thị D
DV10,Xã Thanh Sơn,20/06/2026,Hộ tịch,9,4.8,Phạm Văn C
DV12,Xã Hương Trà,26/05/2026,Chứng thực,10,4.8,Phạm Văn C
DV09,Xã An Cư,23/01/2026,Đất đai,9,5.5,Trần Văn A
DV08,Xã Vĩnh Lộc,09/06/2026,Đất đai,7,4.7,Vũ Thị G
DV12,Xã Hương Trà,22/03/2026,Chứng thực,8,2.2,Hoàng Văn E
DV08,Xã Vĩnh Lộc,08/02/2026,Chứng thực,7,3.0,Nguyễn Thị D
DV04,Phường Nam Phong,01/05/2026,Hộ tịch,21,4.2,Trần Văn A
DV03,Phường Đông Giang,09/02/2026,Đất đai,17,1.8,Nguyễn Thị D
DV02,Phường Tân Hoà,12/03/2026,Hộ tịch,32,3.1,Lê Thị B
DV03,Phường Đông Giang,25/04/2026,Chứng thực,17,3.4,Trần Văn A
DV06,Xã Long Thành,23/05/2026,Đất đai,16,3.6,Phạm Văn C
DV12,Xã Hương Trà,09/01/2026,Hộ tịch,11,5.6,Hoàng Văn E
DV10,Xã Thanh Sơn,02/05/2026,Hộ tịch,5,3.8,Hoàng Văn E
DV09,Xã An Cư,10/05/2026,Chứng thực,7,3.1,Trần Văn A
DV03,Phường Đông Giang,07/05/2026,Đất đai,24,2.0,Trần Văn A
DV03,Phường Đông Giang,02/06/2026,Đất đai,14,3.3,Hoàng Văn E
DV04,Phường Nam Phong,2026-03-12,Đất đai,23,5.6,Trần Văn A
DV04,Phường Nam Phong,25/01/2026,Đất đai,27,3.7,Lê Thị B
DV02,Phường Tân Hoà,26/04/2026,Hộ tịch,22,5.9,Lê Thị B
DV03,Phường Đông Giang,19/01/2026,Đất đai,18,4.9,Nguyễn Thị D
DV07,Xã Phú Điền,18/06/2026,Hộ tịch,8,2.8,Hoàng Văn E
DV05,Xã Bình An,01/06/2026,Đất đai,10,4.4,Phạm Văn C
DV11,Xã Mỹ Khánh,22/06/2026,Hộ tịch,12,4.6,Hoàng Văn E
DV03,Phường Đông Giang,20/04/2026,Hộ tịch,13,5.3,Nguyễn Thị D
DV06,Xã Long Thành,23/06/2026,Chứng thực,16,3.3,Phạm Văn C
DV08,Xã Vĩnh Lộc,28/04/2026,Đất đai,12,4.0,Hoàng Văn E
DV09,Xã An Cư,21/04/2026,Đất đai,6,5.8,Trần Văn A
DV06,Xã Long Thành,02/11/2019,Chứng thực,37,2.8,Lê Thị B
DV05,Xã Bình An,23/03/2026,Đất đai,12,4.1,Vũ Thị G
DV01,Phường Hoà Thuận,01/02/2026,Chứng thực,23,2.4,Nguyễn Thị D
DV09,Xã An Cư,04/06/2026,Hộ tịch,8,4.9,Vũ Thị G
DV06,Xã Long Thành,20/04/2026,Đất đai,12,2.1,Hoàng Văn E
DV10,Xã Thanh Sơn,03/03/2026,Chứng thực,4,3.2,Vũ Thị G
DV08,Xã Vĩnh Lộc,19/04/2026,Chứng thực,9,5.9,Lê Thị B
DV02,Phường Tân Hoà,12/05/2026,Hộ tịch,18,2.0,Phạm Văn C
DV01,Phường Hòa Thuận ,02/01/2026,Chứng thực,21,2.7,Trần Văn A
DV03,Phường Đông Giang,14/05/2019,Hộ tịch,41,3.2,Trần Văn A
DV08,Xã Vĩnh Lộc,28/02/2026,Hộ tịch,11,2.9,Lê Thị B
DV05,Xã Bình An,13/03/2026,Chứng thực,7,4.4,Lê Thị B
DV04,Phường Nam Phong,28/05/2026,Chứng thực,22,5.7,Vũ Thị G
DV12,Xã Hương Trà,10/06/2026,Đất đai,12,5.6,Phạm Văn C
DV04,Phường Nam Phong,10/04/2026,Chứng thực,24,5.7,Lê Thị B
DV07,Xã Phú Điền,11/02/2026,Hộ tịch,6,1.9,Phạm Văn C
DV10,Xã Thanh Sơn,27/06/2026,Chứng thực,9,2.7,Phạm Văn C
DV12,Xã Hương Trà,21/06/2026,Hộ tịch,6,2.5,Trần Văn A
DV03,Phường Đông Giang,18/01/2026,Hộ tịch,20,3.4,Hoàng Văn E
DV05,Xã Bình An,12/01/2026,Hộ tịch,13,3.5,Hoàng Văn E
DV07,Xã Phú Điền,28/06/2026,Đất đai,7,3.0,Trần Văn A
DV12,Xã Hương Trà,18/02/2026,Hộ tịch,8,5.9,Lê Thị B
DV06,Xã Long Thành,22/06/2026,Hộ tịch,16,1.5,Nguyễn Thị D
DV10,Xã Thanh Sơn,03/01/2026,Hộ tịch,8,3.9,Hoàng Văn E
DV03,Phường Đông Giang,15/05/2026,Hộ tịch,20,4.8,Phạm Văn C
DV07,Xã Phú Điền,07/01/2026,Chứng thực,7,3.0,Hoàng Văn E
DV06,Xã Long Thành,03/03/2026,Đất đai,13,5.8,Hoàng Văn E
DV09,Xã An Cư,07/02/2026,Đất đai,6,2.4,Phạm Văn C
DV01,Phường Hoà Thuận,2026-05-17,Hộ tịch,26,4.8,Nguyễn Thị D
DV05,Xã Bình An,11/04/2026,Đất đai,8,4.3,Phạm Văn C
DV08,Xã Vĩnh Lộc,25/03/2026,Chứng thực,13,5.2,Hoàng Văn E
DV11,Xã Mỹ Khánh,27/02/2026,Hộ tịch,14,4.5,Vũ Thị G
DV06,Xã Long Thành,2026-05-17,Hộ tịch,9,5.5,Hoàng Văn E
DV05,Xã Bình An,12/01/2026,Chứng thực,8,2.8,Vũ Thị G
DV06,Xã Long Thành,21/06/2026,Đất đai,14,4.8,Vũ Thị G
DV02,Phường Tân Hoà,23/01/2026,Hộ tịch,18,2.3,
DV03,Phường Đông Giang,06/06/2026,Chứng thực,18,2.7,Vũ Thị G
DV09,Xã An Cư,08/06/2026,Chứng thực,9,2.5,Trần Văn A
DV08,Xã Vĩnh Lộc,26/01/2026,Đất đai,7,1.8,Nguyễn Thị D
DV04,Phường Nam Phong,10/06/2026,Chứng thực,25,4.1,Phạm Văn C
DV08,Xã Vĩnh Lộc,12/05/2026,Hộ tịch,12,3.2,Phạm Văn C
DV06,Xã Long Thành,11/01/2026,Hộ tịch,13,4.3,Trần Văn A
DV02,Phường Tân Hoà,03/06/2026,Chứng thực,27,5.6,Nguyễn Thị D
DV06,Xã Long Thành,05/05/2026,Chứng thực,14,1.9,Phạm Văn C
DV01,Phường Hoà Thuận,17/03/2026,Hộ tịch,18,3.8,Vũ Thị G
DV06,Xã Long Thành,05/01/2026,Chứng thực,9,4.7,Vũ Thị G
DV04,Phường Nam Phong,17/02/2026,Hộ tịch,24,5.5,Phạm Văn C
DV09,Xã An Cư,11/03/2026,Đất đai,7,3.1,Phạm Văn C
DV05,Xã Bình An,17/06/2026,Chứng thực,12,3.5,Vũ Thị G
DV10,Xã Thanh Sơn,05/01/2026,Chứng thực,5,5.4,Nguyễn Thị D
DV01,Phường Hoà Thuận,01/02/2026,Chứng thực,23,2.4,Nguyễn Thị D
DV07,Xã Phú Điền,25/04/2026,Đất đai,7,2.1,Trần Văn A
DV07,Xã Phú Điền,07/01/2026,Hộ tịch,5,1.6,Lê Thị B
DV02,Phường Tân Hoà,13/06/2026,Đất đai,30,1.6,Trần Văn A
DV08,Xã Vĩnh Lộc,25/05/2026,Chứng thực,11,2.4,Trần Văn A
DV07,Xã Phú Điền,25/04/2026,Hộ tịch,11,3.6,Phạm Văn C
DV11,Xã Mỹ Khánh,06/01/2026,Chứng thực,12,3.7,Trần Văn A
DV01,Phường Hoà Thuận,27/05/2026,Chứng thực,21,1.6,Lê Thị B
DV02,Phường Tân Hoà,12/04/2026,Chứng thực,34,6.0,Vũ Thị G
DV09,Xã An Cư,11/01/2026,Hộ tịch,6,3.7,Phạm Văn C
DV11,Xã Mỹ Khánh,12/03/2026,Chứng thực,10,4.1,Nguyễn Thị D
DV03,Phường Đông Giang,07/03/2026,Đất đai,16,3.6,Phạm Văn C
DV10,Xã Thanh Sơn,17/01/2026,Đất đai,6,3.3,Trần Văn A
DV07,Xã Phú Điền,07/02/2026,Chứng thực,11,1.6,Nguyễn Thị D
DV01,phường hoà thuận,07/01/2026,Đất đai,18,4.6,Lê Thị B
DV09,Xã An Cư,10/05/2026,Hộ tịch,10,2.2,Phạm Văn C
DV02,Phường Tân Hoà,03/01/2026,Đất đai,23,3.8,Lê Thị B
DV05,Xã Bình An,09/02/2026,Chứng thực,11,2.4,Vũ Thị G
DV12,Xã Hương Trà,10/04/2026,Chứng thực,6,1.7,Lê Thị B
DV11,Xã Mỹ Khánh,21/03/2026,Hộ tịch,14,4.8,Hoàng Văn E
DV08,Xã Vĩnh Lộc,24/06/2026,Chứng thực,7,5.7,Lê Thị B
DV12,Xã Hương Trà,09/04/2026,Hộ tịch,11,3.2,Hoàng Văn E
DV06,Xã Long Thành,01/03/2026,Hộ tịch,14,3.8,Trần Văn A
