ma_don_vi,ten_don_vi,nam,hang_muc,du_toan_trieu_dong,thuc_hien_trieu_dong
DV02,Phường Tân Hoà,2025,An toàn thông tin,112.4,104.4
DV02,Phường Tân Hoà,2026,Hạ tầng và thiết bị,346.9,232.6
DV02,Phường Tân Hoà,2026,Phần mềm và bản quyền,194.5,148.1
DV02,Phường Tân Hoà,2026,Thuê dịch vụ công nghệ thông tin,222.5,169.7
DV02,Phường Tân Hoà,2026,Đào tạo cán bộ,79.1,60.3
DV02,Phường Tân Hoà,2026,An toàn thông tin,114.7,88.5
DV03,Phường Đông Giang,2024,Hạ tầng và thiết bị,223.7,196.4
DV03,Phường Đông Giang,2024,Phần mềm và bản quyền,139.9,135.3
DV03,Phường Đông Giang,2024,Thuê dịch vụ công nghệ thông tin,158.7,133.5
DV03,Phường Đông Giang,2024,Đào tạo cán bộ,50.4,41.8
DV03,Phường Đông Giang,2024,An toàn thông tin,85.2,72.0
DV03,Phường Đông Giang,2025,Hạ tầng và thiết bị,207.2,178.8
DV03,Phường Đông Giang,2025,Phần mềm và bản quyền,138.3,118.7
DV03,Phường Đông Giang,2025,Thuê dịch vụ công nghệ thông tin,169.8,169.8
DV03,Phường Đông Giang,2025,Đào tạo cán bộ,43.5,43.5
DV03,Phường Đông Giang,2025,An toàn thông tin,82.3,75.5
DV03,Phường Đông Giang,2026,Hạ tầng và thiết bị,241.9,168.6
DV03,Phường Đông Giang,2026,Phần mềm và bản quyền,127.7,88.0
DV03,Phường Đông Giang,2026,Thuê dịch vụ công nghệ thông tin,169.1,127.2
DV03,Phường Đông Giang,2026,Đào tạo cán bộ,56.4,42.0
DV03,Phường Đông Giang,2026,An toàn thông tin,68.0,50.9
DV04,Phường Nam Phong,2024,Hạ tầng và thiết bị,301.9,290.2
DV04,Phường Nam Phong,2024,Phần mềm và bản quyền,139.3,129.6
DV04,Phường Nam Phong,2024,Thuê dịch vụ công nghệ thông tin,218.7,197.6
DV04,Phường Nam Phong,2024,Đào tạo cán bộ,60.1,55.1
DV04,Phường Nam Phong,2024,An toàn thông tin,91.8,91.8
DV04,Phường Nam Phong,2025,Hạ tầng và thiết bị,306.2,275.7
DV04,Phường Nam Phong,2025,Phần mềm và bản quyền,169.1,149.5
DV04,Phường Nam Phong,2025,Thuê dịch vụ công nghệ thông tin,206.2,181.9
DV04,Phường Nam Phong,2025,Đào tạo cán bộ,59.1,54.3
DV04,Phường Nam Phong,2025,An toàn thông tin,97.2,85.8
DV04,Phường Nam Phong,2026,Hạ tầng và thiết bị,266.0,205.7
DV04,Phường Nam Phong,2026,Phần mềm và bản quyền,178.5,122.6
DV04,Phường Nam Phong,2026,Thuê dịch vụ công nghệ thông tin,171.6,127.2
DV04,Phường Nam Phong,2026,Đào tạo cán bộ,54.5,39.3
DV04,Phường Nam Phong,2026,An toàn thông tin,86.2,65.1
DV05,Xã Bình An,2024,Hạ tầng và thiết bị,101.9,84.5
DV05,Xã Bình An,2024,Phần mềm và bản quyền,61.3,53.8
DV05,Xã Bình An,2024,Thuê dịch vụ công nghệ thông tin,65.6,59.0
DV05,Xã Bình An,2024,Đào tạo cán bộ,21.4,19.7
DV05,Xã Bình An,2024,An toàn thông tin,38.3,38.3
DV05,Xã Bình An,2025,Hạ tầng và thiết bị,98.8,86.0
DV05,Xã Bình An,2025,Phần mềm và bản quyền,55.0,47.7
DV05,Xã Bình An,2025,Thuê dịch vụ công nghệ thông tin,87.1,87.1
DV05,Xã Bình An,2025,Đào tạo cán bộ,21.6,20.9
DV05,Xã Bình An,2025,An toàn thông tin,42.3,42.3
DV05,Xã Bình An,2026,Hạ tầng và thiết bị,114.5,88.4
DV05,Xã Bình An,2026,Phần mềm và bản quyền,69.4,46.7
DV05,Xã Bình An,2026,Thuê dịch vụ công nghệ thông tin,72.3,54.5
DV05,Xã Bình An,2026,Đào tạo cán bộ,25.3,17.6
DV05,Xã Bình An,2026,An toàn thông tin,40.8,30.7
DV06,Xã Long Thành,2024,Hạ tầng và thiết bị,115.0,96.7
DV06,Xã Long Thành,2024,Phần mềm và bản quyền,62.9,54.2
DV06,Xã Long Thành,2024,Thuê dịch vụ công nghệ thông tin,85.6,79.3
DV06,Xã Long Thành,2024,Đào tạo cán bộ,26.7,23.3
DV06,Xã Long Thành,2024,An toàn thông tin,41.7,40.4
DV06,Xã Long Thành,2025,Hạ tầng và thiết bị,134.2,119.1
DV06,Xã Long Thành,2025,Phần mềm và bản quyền,71.7,66.3
DV06,Xã Long Thành,2025,Thuê dịch vụ công nghệ thông tin,88.1,86.4
DV06,Xã Long Thành,2025,Đào tạo cán bộ,26.5,23.5
DV06,Xã Long Thành,2025,An toàn thông tin,42.0,37.9
DV06,Xã Long Thành,2026,Hạ tầng và thiết bị,124.5,81.8
DV06,Xã Long Thành,2026,Phần mềm và bản quyền,81.9,56.7
DV06,Xã Long Thành,2026,Thuê dịch vụ công nghệ thông tin,96.3,71.2
DV06,Xã Long Thành,2026,Đào tạo cán bộ,25.6,19.7
DV06,Xã Long Thành,2026,An toàn thông tin,45.9,31.4
DV07,Xã Phú Điền,2024,Hạ tầng và thiết bị,97.9,92.9
DV07,Xã Phú Điền,2024,Phần mềm và bản quyền,45.6,41.4
DV07,Xã Phú Điền,2024,Thuê dịch vụ công nghệ thông tin,51.5,47.6
DV07,Xã Phú Điền,2024,Đào tạo cán bộ,20.7,20.5
DV07,Xã Phú Điền,2024,An toàn thông tin,32.3,30.5
DV07,Xã Phú Điền,2025,Hạ tầng và thiết bị,90.8,81.5
DV07,Xã Phú Điền,2025,Phần mềm và bản quyền,48.6,41.1
DV07,Xã Phú Điền,2025,Thuê dịch vụ công nghệ thông tin,65.1,60.2
DV07,Xã Phú Điền,2025,Đào tạo cán bộ,19.9,18.3
DV07,Xã Phú Điền,2025,An toàn thông tin,25.8,24.3
DV07,Xã Phú Điền,2026,Hạ tầng và thiết bị,74.8,49.5
DV07,Xã Phú Điền,2026,Phần mềm và bản quyền,43.1,31.1
DV07,Xã Phú Điền,2026,Thuê dịch vụ công nghệ thông tin,54.8,40.1
DV07,Xã Phú Điền,2026,Đào tạo cán bộ,15.7,10.9
DV07,Xã Phú Điền,2026,An toàn thông tin,33.3,22.6
DV08,Xã Vĩnh Lộc,2024,Hạ tầng và thiết bị,120.6,117.1
DV08,Xã Vĩnh Lộc,2024,Phần mềm và bản quyền,59.7,56.8
DV08,Xã Vĩnh Lộc,2024,Thuê dịch vụ công nghệ thông tin,61.3,55.7
DV08,Xã Vĩnh Lộc,2024,Đào tạo cán bộ,21.0,17.9
DV08,Xã Vĩnh Lộc,2024,An toàn thông tin,32.3,26.8
DV08,Xã Vĩnh Lộc,2025,Hạ tầng và thiết bị,90.2,74.6
DV08,Xã Vĩnh Lộc,2025,Phần mềm và bản quyền,64.7,64.7
DV08,Xã Vĩnh Lộc,2025,Thuê dịch vụ công nghệ thông tin,68.8,68.8
DV08,Xã Vĩnh Lộc,2025,Đào tạo cán bộ,21.2,19.5
DV08,Xã Vĩnh Lộc,2025,An toàn thông tin,39.4,36.3
DV08,Xã Vĩnh Lộc,2026,Hạ tầng và thiết bị,108.4,72.7
DV08,Xã Vĩnh Lộc,2026,Phần mềm và bản quyền,52.1,35.4
DV08,Xã Vĩnh Lộc,2026,Thuê dịch vụ công nghệ thông tin,70.1,50.2
DV08,Xã Vĩnh Lộc,2026,Đào tạo cán bộ,23.1,17.7
DV08,Xã Vĩnh Lộc,2026,An toàn thông tin,32.6,24.5
DV09,Xã An Cư,2024,Hạ tầng và thiết bị,87.6,78.5
DV09,Xã An Cư,2024,Phần mềm và bản quyền,37.8,31.1
DV09,Xã An Cư,2024,Thuê dịch vụ công nghệ thông tin,50.0,47.3
DV09,Xã An Cư,2024,Đào tạo cán bộ,14.9,13.3
DV09,Xã An Cư,2024,An toàn thông tin,25.7,23.8
DV09,Xã An Cư,2025,Hạ tầng và thiết bị,70.7,62.5
DV09,Xã An Cư,2025,Phần mềm và bản quyền,37.1,32.8
DV09,Xã An Cư,2025,Thuê dịch vụ công nghệ thông tin,54.4,47.0
DV09,Xã An Cư,2025,Đào tạo cán bộ,18.1,16.8
DV09,Xã An Cư,2025,An toàn thông tin,26.1,22.9
DV09,Xã An Cư,2026,Hạ tầng và thiết bị,87.5,60.0
DV09,Xã An Cư,2026,Phần mềm và bản quyền,47.4,33.3
DV09,Xã An Cư,2026,Thuê dịch vụ công nghệ thông tin,51.3,36.6
DV09,Xã An Cư,2026,Đào tạo cán bộ,15.5,10.1
DV09,Xã An Cư,2026,An toàn thông tin,26.1,17.2
DV10,Xã Thanh Sơn,2024,Hạ tầng và thiết bị,68.4,62.1
DV10,Xã Thanh Sơn,2024,Phần mềm và bản quyền,34.0,34.0
DV10,Xã Thanh Sơn,2024,Thuê dịch vụ công nghệ thông tin,54.0,45.3
DV10,Xã Thanh Sơn,2024,Đào tạo cán bộ,13.4,12.9
DV10,Xã Thanh Sơn,2024,An toàn thông tin,23.2,23.2
DV10,Xã Thanh Sơn,2025,Hạ tầng và thiết bị,61.2,56.0
DV10,Xã Thanh Sơn,2025,Phần mềm và bản quyền,33.9,30.2
DV10,Xã Thanh Sơn,2025,Thuê dịch vụ công nghệ thông tin,47.3,41.3
DV10,Xã Thanh Sơn,2025,Đào tạo cán bộ,13.4,11.5
DV10,Xã Thanh Sơn,2025,An toàn thông tin,24.5,24.0
DV10,Xã Thanh Sơn,2026,Hạ tầng và thiết bị,80.8,55.5
DV10,Xã Thanh Sơn,2026,Phần mềm và bản quyền,33.6,24.0
DV10,Xã Thanh Sơn,2026,Thuê dịch vụ công nghệ thông tin,52.5,35.3
DV10,Xã Thanh Sơn,2026,Đào tạo cán bộ,16.5,12.6
DV10,Xã Thanh Sơn,2026,An toàn thông tin,22.8,15.4
DV11,Xã Mỹ Khánh,2024,Hạ tầng và thiết bị,135.3,122.5
DV11,Xã Mỹ Khánh,2024,Phần mềm và bản quyền,65.7,62.7
DV11,Xã Mỹ Khánh,2024,Thuê dịch vụ công nghệ thông tin,93.0,90.3
DV11,Xã Mỹ Khánh,2024,Đào tạo cán bộ,23.7,23.7
DV11,Xã Mỹ Khánh,2024,An toàn thông tin,46.6,42.9
DV11,Xã Mỹ Khánh,2025,Hạ tầng và thiết bị,137.2,126.1
DV11,Xã Mỹ Khánh,2025,Phần mềm và bản quyền,65.4,57.6
DV11,Xã Mỹ Khánh,2025,Thuê dịch vụ công nghệ thông tin,93.3,86.9
DV11,Xã Mỹ Khánh,2025,Đào tạo cán bộ,27.7,25.8
DV11,Xã Mỹ Khánh,2025,An toàn thông tin,41.0,38.0
DV11,Xã Mỹ Khánh,2026,Hạ tầng và thiết bị,126.5,88.8
DV11,Xã Mỹ Khánh,2026,Phần mềm và bản quyền,64.7,47.0
DV11,Xã Mỹ Khánh,2026,Thuê dịch vụ công nghệ thông tin,90.5,65.3
DV11,Xã Mỹ Khánh,2026,Đào tạo cán bộ,28.7,20.1
DV11,Xã Mỹ Khánh,2026,An toàn thông tin,44.0,33.9
DV12,Xã Hương Trà,2024,Hạ tầng và thiết bị,97.7,81.9
DV12,Xã Hương Trà,2024,Phần mềm và bản quyền,49.7,47.4
DV12,Xã Hương Trà,2024,Thuê dịch vụ công nghệ thông tin,65.2,63.1
DV12,Xã Hương Trà,2024,Đào tạo cán bộ,17.4,15.7
DV12,Xã Hương Trà,2024,An toàn thông tin,26.4,24.2
DV12,Xã Hương Trà,2025,Hạ tầng và thiết bị,96.5,86.7
DV12,Xã Hương Trà,2025,Phần mềm và bản quyền,48.1,42.4
DV12,Xã Hương Trà,2025,Thuê dịch vụ công nghệ thông tin,70.6,65.2
DV12,Xã Hương Trà,2025,Đào tạo cán bộ,18.7,17.8
DV12,Xã Hương Trà,2025,An toàn thông tin,31.6,28.8
DV12,Xã Hương Trà,2026,Hạ tầng và thiết bị,95.5,63.8
DV12,Xã Hương Trà,2026,Phần mềm và bản quyền,54.6,38.3
DV12,Xã Hương Trà,2026,Thuê dịch vụ công nghệ thông tin,69.0,46.4
DV12,Xã Hương Trà,2026,Đào tạo cán bộ,16.8,11.5
DV12,Xã Hương Trà,2026,An toàn thông tin,26.4,18.2
